Year,Combination,Score,Frequency
2022,A00,11.9,72
2022,A00,11.95,84
2022,A00,12.0,91
2022,A00,12.05,83
2022,A00,12.1,92
2022,A00,12.15,102
2022,A00,12.2,87
2022,A00,12.25,101
2022,A00,12.3,96
2022,A00,12.35,97
2022,A00,12.4,120
2022,A00,12.45,104
2022,A00,12.5,108
2022,A00,12.55,119
2022,A00,12.6,106
2022,A00,12.65,125
2022,A00,12.7,122
2022,A00,12.75,145
2022,A00,12.8,129
2022,A00,12.85,147
2022,A00,12.9,137
2022,A00,12.95,139
2022,A00,13.0,145
2022,A00,13.05,149
2022,A00,13.1,133
2022,A00,13.15,155
2022,A00,13.2,149
2022,A00,13.25,160
2022,A00,13.3,178
2022,A00,13.35,190
2022,A00,13.4,161
2022,A00,13.45,199
2022,A00,13.5,195
2022,A00,13.55,186
2022,A00,13.6,225
2022,A00,13.65,197
2022,A00,13.7,202
2022,A00,13.75,246
2022,A00,13.8,214
2022,A00,13.85,229
2022,A00,13.9,229
2022,A00,13.95,231
2022,A00,14.0,265
2022,A00,14.05,249
2022,A00,14.1,246
2022,A00,14.15,252
2022,A00,14.2,263
2022,A00,14.25,265
2022,A00,14.3,280
2022,A00,14.35,269
2022,A00,14.4,270
2022,A00,14.45,307
2022,A00,14.5,292
2022,A00,14.55,302
2022,A00,14.6,311
2022,A00,14.65,281
2022,A00,14.7,325
2022,A00,14.75,320
2022,A00,14.8,358
2022,A00,14.85,344
2022,A00,14.9,363
2022,A00,14.95,367
2022,A00,15.0,344
2022,A00,15.05,380
2022,A00,15.1,378
2022,A00,15.15,375
2022,A00,15.2,362
2022,A00,15.25,423
2022,A00,15.3,400
2022,A00,15.35,389
2022,A00,15.4,451
2022,A00,15.45,403
2022,A00,15.5,478
2022,A00,15.55,417
2022,A00,15.6,473
2022,A00,15.65,470
2022,A00,15.7,486
2022,A00,15.75,477
2022,A00,15.8,551
2022,A00,15.85,537
2022,A00,15.9,471
2022,A00,15.95,496
2022,A00,16.0,537
2022,A00,16.05,539
2022,A00,16.1,549
2022,A00,16.15,556
2022,A00,16.2,565
2022,A00,16.25,597
2022,A00,16.3,612
2022,A00,16.35,620
2022,A00,16.4,637
2022,A00,16.45,614
2022,A00,16.5,608
2022,A00,16.55,643
2022,A00,16.6,671
2022,A00,16.65,648
2022,A00,16.7,727
2022,A00,16.75,657
2022,A00,16.8,682
2022,A00,16.85,734
2022,A00,16.9,734
2022,A00,16.95,725
2022,A00,17.0,738
2022,A00,17.05,746
2022,A00,17.1,786
2022,A00,17.15,816
2022,A00,17.2,794
2022,A00,17.25,822
2022,A00,17.3,807
2022,A00,17.35,833
2022,A00,17.4,891
2022,A00,17.45,900
2022,A00,17.5,867
2022,A00,17.55,906
2022,A00,17.6,896
2022,A00,17.65,921
2022,A00,17.7,960
2022,A00,17.75,965
2022,A00,17.8,944
2022,A00,17.85,993
2022,A00,17.9,986
2022,A00,17.95,979
2022,A00,18.0,1019
2022,A00,18.05,1034
2022,A00,18.1,1046
2022,A00,18.15,1067
2022,A00,18.2,1112
2022,A00,18.25,1057
2022,A00,18.3,1098
2022,A00,18.35,1089
2022,A00,18.4,1196
2022,A00,18.45,1155
2022,A00,18.5,1212
2022,A00,18.55,1206
2022,A00,18.6,1245
2022,A00,18.65,1169
2022,A00,18.7,1221
2022,A00,18.75,1251
2022,A00,18.8,1241
2022,A00,18.85,1321
2022,A00,18.9,1391
2022,A00,18.95,1316
2022,A00,19.0,1305
2022,A00,19.05,1341
2022,A00,19.1,1338
2022,A00,19.15,1397
2022,A00,19.2,1346
2022,A00,19.25,1464
2022,A00,19.3,1444
2022,A00,19.35,1464
2022,A00,19.4,1502
2022,A00,19.45,1472
2022,A00,19.5,1445
2022,A00,19.55,1508
2022,A00,19.6,1548
2022,A00,19.65,1553
2022,A00,19.7,1548
2022,A00,19.75,1634
2022,A00,19.8,1631
2022,A00,19.85,1598
2022,A00,19.9,1554
2022,A00,19.95,1639
2022,A00,20.0,1675
2022,A00,20.05,1621
2022,A00,20.1,1602
2022,A00,20.15,1727
2022,A00,20.2,1736
2022,A00,20.25,1706
2022,A00,20.3,1824
2022,A00,20.35,1888
2022,A00,20.4,1762
2022,A00,20.45,1832
2022,A00,20.5,1802
2022,A00,20.55,1834
2022,A00,20.6,1832
2022,A00,20.65,1878
2022,A00,20.7,1846
2022,A00,20.75,1834
2022,A00,20.8,1844
2022,A00,20.85,1966
2022,A00,20.9,1857
2022,A00,20.95,1957
2022,A00,21.0,1868
2022,A00,21.05,1964
2022,A00,21.1,1944
2022,A00,21.15,1937
2022,A00,21.2,1981
2022,A00,21.25,2029
2022,A00,21.3,2057
2022,A00,21.35,2015
2022,A00,21.4,1988
2022,A00,21.45,1987
2022,A00,21.5,2037
2022,A00,21.55,1969
2022,A00,21.6,1999
2022,A00,21.65,2099
2022,A00,21.7,1999
2022,A00,21.75,1978
2022,A00,21.8,2004
2022,A00,21.85,2069
2022,A00,21.9,2013
2022,A00,21.95,2024
2022,A00,22.0,2112
2022,A00,22.05,1993
2022,A00,22.1,2037
2022,A00,22.15,2099
2022,A00,22.2,2023
2022,A00,22.25,2124
2022,A00,22.3,2070
2022,A00,22.35,2113
2022,A00,22.4,1990
2022,A00,22.45,2034
2022,A00,22.5,2100
2022,A00,22.55,2099
2022,A00,22.6,2104
2022,A00,22.65,2071
2022,A00,22.7,2040
2022,A00,22.75,2173
2022,A00,22.8,2048
2022,A00,22.85,2047
2022,A00,22.9,1959
2022,A00,22.95,2061
2022,A00,23.0,2003
2022,A00,23.05,2019
2022,A00,23.1,1921
2022,A00,23.15,1952
2022,A00,23.2,2064
2022,A00,23.25,2029
2022,A00,23.3,1918
2022,A00,23.35,1823
2022,A00,23.4,1948
2022,A00,23.45,2016
2022,A00,23.5,1915
2022,A00,23.55,1867
2022,A00,23.6,1720
2022,A00,23.65,1880
2022,A00,23.7,1956
2022,A00,23.75,1873
2022,A00,23.8,1608
2022,A00,23.85,1654
2022,A00,23.9,1882
2022,A00,23.95,1930
2022,A00,24.0,1692
2022,A00,24.05,1656
2022,A00,24.1,1663
2022,A00,24.15,1727
2022,A00,24.2,1742
2022,A00,24.25,1569
2022,A00,24.3,1488
2022,A00,24.35,1584
2022,A00,24.4,1662
2022,A00,24.45,1600
2022,A00,24.5,1353
2022,A00,24.55,1319
2022,A00,24.6,1490
2022,A00,24.65,1572
2022,A00,24.7,1323
2022,A00,24.75,1201
2022,A00,24.8,1264
2022,A00,24.85,1334
2022,A00,24.9,1422
2022,A00,24.95,1258
2022,A00,25.0,1076
2022,A00,25.05,1168
2022,A00,25.1,1265
2022,A00,25.15,1235
2022,A00,25.2,992
2022,A00,25.25,902
2022,A00,25.3,1049
2022,A00,25.35,1151
2022,A00,25.4,1012
2022,A00,25.45,856
2022,A00,25.5,792
2022,A00,25.55,956
2022,A00,25.6,995
2022,A00,25.65,802
2022,A00,25.7,707
2022,A00,25.75,697
2022,A00,25.8,832
2022,A00,25.85,890
2022,A00,25.9,682
2022,A00,25.95,568
2022,A00,26.0,653
2022,A00,26.05,800
2022,A00,26.1,726
2022,A00,26.15,522
2022,A00,26.2,464
2022,A00,26.25,560
2022,A00,26.3,629
2022,A00,26.35,550
2022,A00,26.4,371
2022,A00,26.45,399
2022,A00,26.5,507
2022,A00,26.55,477
2022,A00,26.6,387
2022,A00,26.65,279
2022,A00,26.7,309
2022,A00,26.75,399
2022,A00,26.8,365
2022,A00,26.85,249
2022,A00,26.9,219
2022,A00,26.95,267
2022,A00,27.0,329
2022,A00,27.05,287
2022,A00,27.1,214
2022,A00,27.15,169
2022,A00,27.2,250
2022,A00,27.25,235
2022,A00,27.3,185
2022,A00,27.35,122
2022,A00,27.4,137
2022,A00,27.45,209
2022,A00,27.5,180
2022,A00,27.55,111
2022,A00,27.6,88
2022,A00,27.65,109
2022,A00,27.7,170
2022,A00,27.75,112
2022,A00,27.8,61
2022,A00,27.85,65
2022,A00,27.9,92
2022,A00,27.95,111
2022,A00,28.0,70
2022,A00,28.05,37
2022,A00,28.1,50
2022,A00,28.15,68
2022,A00,28.2,61
2022,A00,28.25,30
2022,A00,28.3,16
2022,A00,28.35,37
2022,A00,28.4,55
2022,A00,28.45,21
2022,A00,28.5,11
2022,A00,28.55,17
2022,A00,28.6,29
2022,A00,28.65,30
2022,A00,28.7,6
2022,A00,28.75,5
2022,A00,28.8,7
2022,A00,28.85,23
2022,A00,28.9,11
2022,A00,28.95,5
2022,A00,29.0,4
2022,A00,29.05,6
2022,A00,29.1,15
2022,A00,29.15,3
2022,A00,29.2,3
2022,A00,29.25,1
2022,A00,29.3,10
2022,A00,29.35,6
2022,A00,29.4,2
2022,A00,29.5,1
2022,A00,29.55,6
2022,A00,29.8,4
2022,A00,30.0,1
2022,A01,4.9,1
2022,A01,5.55,1
2022,A01,5.699999999999999,1
2022,A01,5.85,1
2022,A01,6.050000000000001,1
2022,A01,6.1,1
2022,A01,6.15,1
2022,A01,6.3,2
2022,A01,6.35,4
2022,A01,6.3500000000000005,1
2022,A01,6.4,1
2022,A01,6.5,1
2022,A01,6.55,3
2022,A01,6.550000000000001,1
2022,A01,6.6,2
2022,A01,6.65,1
2022,A01,6.7,2
2022,A01,6.75,3
2022,A01,6.8,1
2022,A01,6.800000000000001,1
2022,A01,6.85,1
2022,A01,6.9,3
2022,A01,6.949999999999999,1
2022,A01,7.0,1
2022,A01,7.05,2
2022,A01,7.1,2
2022,A01,7.1000000000000005,1
2022,A01,7.15,3
2022,A01,7.199999999999999,1
2022,A01,7.25,2
2022,A01,7.3,1
2022,A01,7.300000000000001,1
2022,A01,7.35,1
2022,A01,7.3500000000000005,1
2022,A01,7.4,3
2022,A01,7.449999999999999,2
2022,A01,7.45,2
2022,A01,7.5,5
2022,A01,7.55,3
2022,A01,7.550000000000001,1
2022,A01,7.6,3
2022,A01,7.6499999999999995,2
2022,A01,7.65,1
2022,A01,7.75,5
2022,A01,7.8,2
2022,A01,7.800000000000001,3
2022,A01,7.85,4
2022,A01,7.8999999999999995,1
2022,A01,7.9,2
2022,A01,7.949999999999999,2
2022,A01,7.95,6
2022,A01,8.0,6
2022,A01,8.05,8
2022,A01,8.149999999999999,1
2022,A01,8.15,8
2022,A01,8.2,10
2022,A01,8.25,9
2022,A01,8.3,8
2022,A01,8.35,9
2022,A01,8.350000000000001,2
2022,A01,8.4,4
2022,A01,8.45,8
2022,A01,8.5,10
2022,A01,8.549999999999999,1
2022,A01,8.55,9
2022,A01,8.6,4
2022,A01,8.600000000000001,1
2022,A01,8.649999999999999,1
2022,A01,8.65,4
2022,A01,8.7,8
2022,A01,8.75,13
2022,A01,8.8,5
2022,A01,8.85,7
2022,A01,8.850000000000001,1
2022,A01,8.899999999999999,1
2022,A01,8.9,10
2022,A01,8.95,15
2022,A01,8.950000000000001,2
2022,A01,9.0,26
2022,A01,9.05,16
2022,A01,9.1,14
2022,A01,9.100000000000001,3
2022,A01,9.149999999999999,1
2022,A01,9.15,17
2022,A01,9.2,15
2022,A01,9.25,17
2022,A01,9.3,13
2022,A01,9.35,13
2022,A01,9.350000000000001,3
2022,A01,9.399999999999999,4
2022,A01,9.4,12
2022,A01,9.45,20
2022,A01,9.450000000000001,1
2022,A01,9.5,19
2022,A01,9.549999999999999,1
2022,A01,9.55,26
2022,A01,9.6,14
2022,A01,9.600000000000001,4
2022,A01,9.649999999999999,5
2022,A01,9.65,22
2022,A01,9.7,23
2022,A01,9.700000000000001,3
2022,A01,9.75,17
2022,A01,9.799999999999999,2
2022,A01,9.8,27
2022,A01,9.85,16
2022,A01,9.850000000000001,6
2022,A01,9.899999999999999,5
2022,A01,9.9,21
2022,A01,9.95,27
2022,A01,9.950000000000001,5
2022,A01,10.0,29
2022,A01,10.049999999999999,2
2022,A01,10.05,31
2022,A01,10.1,27
2022,A01,10.100000000000001,10
2022,A01,10.149999999999999,6
2022,A01,10.15,22
2022,A01,10.2,34
2022,A01,10.25,36
2022,A01,10.299999999999999,3
2022,A01,10.3,33
2022,A01,10.35,31
2022,A01,10.350000000000001,12
2022,A01,10.399999999999999,10
2022,A01,10.4,23
2022,A01,10.45,30
2022,A01,10.450000000000001,8
2022,A01,10.5,41
2022,A01,10.549999999999999,1
2022,A01,10.55,39
2022,A01,10.6,44
2022,A01,10.600000000000001,13
2022,A01,10.649999999999999,20
2022,A01,10.65,44
2022,A01,10.7,39
2022,A01,10.700000000000001,8
2022,A01,10.75,50
2022,A01,10.799999999999999,8
2022,A01,10.8,43
2022,A01,10.85,32
2022,A01,10.850000000000001,23
2022,A01,10.899999999999999,13
2022,A01,10.9,38
2022,A01,10.95,48
2022,A01,10.950000000000001,6
2022,A01,11.0,70
2022,A01,11.049999999999999,9
2022,A01,11.05,61
2022,A01,11.1,50
2022,A01,11.100000000000001,26
2022,A01,11.149999999999999,15
2022,A01,11.15,64
2022,A01,11.2,62
2022,A01,11.200000000000001,9
2022,A01,11.25,72
2022,A01,11.299999999999999,6
2022,A01,11.3,72
2022,A01,11.35,41
2022,A01,11.350000000000001,28
2022,A01,11.399999999999999,26
2022,A01,11.4,41
2022,A01,11.45,70
2022,A01,11.450000000000001,11
2022,A01,11.5,92
2022,A01,11.549999999999999,12
2022,A01,11.55,81
2022,A01,11.6,57
2022,A01,11.600000000000001,19
2022,A01,11.649999999999999,38
2022,A01,11.65,64
2022,A01,11.7,90
2022,A01,11.700000000000001,19
2022,A01,11.75,94
2022,A01,11.799999999999999,18
2022,A01,11.8,80
2022,A01,11.85,73
2022,A01,11.850000000000001,48
2022,A01,11.899999999999999,47
2022,A01,11.9,74
2022,A01,11.95,92
2022,A01,11.950000000000001,20
2022,A01,12.0,104
2022,A01,12.049999999999999,30
2022,A01,12.05,96
2022,A01,12.1,72
2022,A01,12.100000000000001,53
2022,A01,12.149999999999999,53
2022,A01,12.15,89
2022,A01,12.2,89
2022,A01,12.200000000000001,31
2022,A01,12.25,128
2022,A01,12.299999999999999,17
2022,A01,12.3,96
2022,A01,12.35,76
2022,A01,12.350000000000001,51
2022,A01,12.399999999999999,57
2022,A01,12.4,84
2022,A01,12.45,125
2022,A01,12.450000000000001,33
2022,A01,12.5,191
2022,A01,12.549999999999999,32
2022,A01,12.55,139
2022,A01,12.6,109
2022,A01,12.600000000000001,54
2022,A01,12.649999999999999,69
2022,A01,12.65,94
2022,A01,12.7,150
2022,A01,12.700000000000001,58
2022,A01,12.75,172
2022,A01,12.799999999999999,39
2022,A01,12.8,138
2022,A01,12.85,105
2022,A01,12.850000000000001,67
2022,A01,12.899999999999999,70
2022,A01,12.9,132
2022,A01,12.95,157
2022,A01,12.950000000000001,45
2022,A01,13.0,193
2022,A01,13.049999999999999,48
2022,A01,13.05,191
2022,A01,13.1,128
2022,A01,13.100000000000001,92
2022,A01,13.149999999999999,75
2022,A01,13.15,121
2022,A01,13.2,177
2022,A01,13.200000000000001,51
2022,A01,13.25,234
2022,A01,13.299999999999999,40
2022,A01,13.3,205
2022,A01,13.35,158
2022,A01,13.350000000000001,96
2022,A01,13.399999999999999,93
2022,A01,13.4,156
2022,A01,13.45,165
2022,A01,13.450000000000001,48
2022,A01,13.5,265
2022,A01,13.549999999999999,51
2022,A01,13.55,202
2022,A01,13.6,155
2022,A01,13.600000000000001,107
2022,A01,13.649999999999999,109
2022,A01,13.65,174
2022,A01,13.7,234
2022,A01,13.700000000000001,57
2022,A01,13.75,295
2022,A01,13.799999999999999,73
2022,A01,13.8,255
2022,A01,13.85,182
2022,A01,13.850000000000001,108
2022,A01,13.899999999999999,139
2022,A01,13.9,172
2022,A01,13.95,235
2022,A01,13.950000000000001,59
2022,A01,14.0,342
2022,A01,14.049999999999999,63
2022,A01,14.05,247
2022,A01,14.1,226
2022,A01,14.100000000000001,137
2022,A01,14.149999999999999,145
2022,A01,14.15,225
2022,A01,14.2,300
2022,A01,14.200000000000001,82
2022,A01,14.25,349
2022,A01,14.299999999999999,81
2022,A01,14.3,309
2022,A01,14.35,240
2022,A01,14.350000000000001,154
2022,A01,14.399999999999999,166
2022,A01,14.4,226
2022,A01,14.45,340
2022,A01,14.450000000000001,80
2022,A01,14.5,443
2022,A01,14.549999999999999,88
2022,A01,14.55,343
2022,A01,14.6,267
2022,A01,14.600000000000001,181
2022,A01,14.649999999999999,167
2022,A01,14.65,264
2022,A01,14.7,339
2022,A01,14.700000000000001,97
2022,A01,14.75,518
2022,A01,14.799999999999999,104
2022,A01,14.8,392
2022,A01,14.85,303
2022,A01,14.850000000000001,179
2022,A01,14.899999999999999,209
2022,A01,14.9,283
2022,A01,14.95,423
2022,A01,14.950000000000001,80
2022,A01,15.0,523
2022,A01,15.049999999999999,116
2022,A01,15.05,444
2022,A01,15.1,327
2022,A01,15.100000000000001,219
2022,A01,15.149999999999999,222
2022,A01,15.15,326
2022,A01,15.2,404
2022,A01,15.200000000000001,123
2022,A01,15.25,594
2022,A01,15.299999999999999,123
2022,A01,15.3,442
2022,A01,15.35,357
2022,A01,15.350000000000001,227
2022,A01,15.399999999999999,224
2022,A01,15.4,370
2022,A01,15.45,486
2022,A01,15.450000000000001,133
2022,A01,15.5,588
2022,A01,15.549999999999999,127
2022,A01,15.55,530
2022,A01,15.6,425
2022,A01,15.600000000000001,259
2022,A01,15.649999999999999,275
2022,A01,15.65,392
2022,A01,15.7,570
2022,A01,15.700000000000001,155
2022,A01,15.75,711
2022,A01,15.799999999999999,129
2022,A01,15.8,557
2022,A01,15.85,414
2022,A01,15.850000000000001,313
2022,A01,15.899999999999999,310
2022,A01,15.9,448
2022,A01,15.95,542
2022,A01,15.950000000000001,148
2022,A01,16.0,757
2022,A01,16.049999999999997,62
2022,A01,16.05,693
2022,A01,16.099999999999998,71
2022,A01,16.1,753
2022,A01,16.15,747
2022,A01,16.150000000000002,93
2022,A01,16.2,718
2022,A01,16.200000000000003,103
2022,A01,16.25,869
2022,A01,16.299999999999997,77
2022,A01,16.3,754
2022,A01,16.349999999999998,82
2022,A01,16.35,841
2022,A01,16.4,767
2022,A01,16.400000000000002,109
2022,A01,16.45,789
2022,A01,16.450000000000003,106
2022,A01,16.5,953
2022,A01,16.549999999999997,81
2022,A01,16.55,806
2022,A01,16.599999999999998,84
2022,A01,16.6,905
2022,A01,16.65,866
2022,A01,16.650000000000002,94
2022,A01,16.7,851
2022,A01,16.700000000000003,129
2022,A01,16.75,982
2022,A01,16.799999999999997,102
2022,A01,16.8,920
2022,A01,16.849999999999998,92
2022,A01,16.85,932
2022,A01,16.9,913
2022,A01,16.900000000000002,88
2022,A01,16.95,889
2022,A01,16.950000000000003,130
2022,A01,17.0,1061
2022,A01,17.049999999999997,113
2022,A01,17.05,935
2022,A01,17.099999999999998,84
2022,A01,17.1,978
2022,A01,17.15,982
2022,A01,17.150000000000002,80
2022,A01,17.2,973
2022,A01,17.200000000000003,149
2022,A01,17.25,1091
2022,A01,17.299999999999997,118
2022,A01,17.3,1029
2022,A01,17.349999999999998,81
2022,A01,17.35,1070
2022,A01,17.4,1098
2022,A01,17.400000000000002,72
2022,A01,17.45,1013
2022,A01,17.450000000000003,176
2022,A01,17.5,1147
2022,A01,17.549999999999997,139
2022,A01,17.55,1080
2022,A01,17.599999999999998,76
2022,A01,17.6,1150
2022,A01,17.65,1186
2022,A01,17.650000000000002,86
2022,A01,17.7,1056
2022,A01,17.700000000000003,162
2022,A01,17.75,1277
2022,A01,17.799999999999997,165
2022,A01,17.8,1215
2022,A01,17.849999999999998,74
2022,A01,17.85,1208
2022,A01,17.9,1252
2022,A01,17.900000000000002,77
2022,A01,17.95,1158
2022,A01,17.950000000000003,196
2022,A01,18.0,1383
2022,A01,18.049999999999997,201
2022,A01,18.05,1114
2022,A01,18.099999999999998,71
2022,A01,18.1,1300
2022,A01,18.15,1285
2022,A01,18.150000000000002,81
2022,A01,18.2,1184
2022,A01,18.200000000000003,221
2022,A01,18.25,1484
2022,A01,18.299999999999997,204
2022,A01,18.3,1251
2022,A01,18.349999999999998,74
2022,A01,18.35,1458
2022,A01,18.4,1401
2022,A01,18.400000000000002,80
2022,A01,18.45,1234
2022,A01,18.450000000000003,195
2022,A01,18.5,1509
2022,A01,18.549999999999997,235
2022,A01,18.55,1335
2022,A01,18.599999999999998,64
2022,A01,18.6,1454
2022,A01,18.65,1442
2022,A01,18.650000000000002,77
2022,A01,18.7,1333
2022,A01,18.700000000000003,270
2022,A01,18.75,1514
2022,A01,18.799999999999997,281
2022,A01,18.8,1409
2022,A01,18.849999999999998,61
2022,A01,18.85,1583
2022,A01,18.9,1531
2022,A01,18.900000000000002,103
2022,A01,18.95,1394
2022,A01,18.950000000000003,286
2022,A01,19.0,1689
2022,A01,19.049999999999997,276
2022,A01,19.05,1408
2022,A01,19.099999999999998,56
2022,A01,19.1,1603
2022,A01,19.15,1601
2022,A01,19.150000000000002,74
2022,A01,19.2,1385
2022,A01,19.200000000000003,318
2022,A01,19.25,1661
2022,A01,19.299999999999997,303
2022,A01,19.3,1446
2022,A01,19.349999999999998,84
2022,A01,19.35,1674
2022,A01,19.4,1672
2022,A01,19.400000000000002,81
2022,A01,19.45,1435
2022,A01,19.450000000000003,291
2022,A01,19.5,1700
2022,A01,19.549999999999997,352
2022,A01,19.55,1489
2022,A01,19.599999999999998,90
2022,A01,19.6,1677
2022,A01,19.65,1685
2022,A01,19.650000000000002,55
2022,A01,19.7,1422
2022,A01,19.700000000000003,365
2022,A01,19.75,1775
2022,A01,19.799999999999997,348
2022,A01,19.8,1419
2022,A01,19.849999999999998,59
2022,A01,19.85,1739
2022,A01,19.9,1788
2022,A01,19.900000000000002,101
2022,A01,19.95,1420
2022,A01,19.950000000000003,375
2022,A01,20.0,1886
2022,A01,20.049999999999997,386
2022,A01,20.05,1471
2022,A01,20.099999999999998,41
2022,A01,20.1,1759
2022,A01,20.15,1743
2022,A01,20.150000000000002,79
2022,A01,20.2,1460
2022,A01,20.200000000000003,402
2022,A01,20.25,1823
2022,A01,20.299999999999997,400
2022,A01,20.3,1473
2022,A01,20.349999999999998,101
2022,A01,20.35,1791
2022,A01,20.4,1799
2022,A01,20.400000000000002,78
2022,A01,20.45,1443
2022,A01,20.450000000000003,371
2022,A01,20.5,1800
2022,A01,20.549999999999997,442
2022,A01,20.55,1420
2022,A01,20.599999999999998,68
2022,A01,20.6,1740
2022,A01,20.65,1801
2022,A01,20.650000000000002,71
2022,A01,20.7,1444
2022,A01,20.700000000000003,436
2022,A01,20.75,1799
2022,A01,20.799999999999997,477
2022,A01,20.8,1402
2022,A01,20.849999999999998,75
2022,A01,20.85,1701
2022,A01,20.9,1652
2022,A01,20.900000000000002,111
2022,A01,20.95,1362
2022,A01,20.950000000000003,449
2022,A01,21.0,1813
2022,A01,21.049999999999997,488
2022,A01,21.05,1393
2022,A01,21.099999999999998,44
2022,A01,21.1,1670
2022,A01,21.15,1732
2022,A01,21.150000000000002,119
2022,A01,21.2,1366
2022,A01,21.200000000000003,474
2022,A01,21.25,1751
2022,A01,21.299999999999997,449
2022,A01,21.3,1297
2022,A01,21.349999999999998,115
2022,A01,21.35,1605
2022,A01,21.4,1650
2022,A01,21.400000000000002,86
2022,A01,21.45,1289
2022,A01,21.450000000000003,433
2022,A01,21.5,1718
2022,A01,21.549999999999997,522
2022,A01,21.55,1258
2022,A01,21.599999999999998,128
2022,A01,21.6,1653
2022,A01,21.65,1727
2022,A01,21.650000000000002,90
2022,A01,21.7,1286
2022,A01,21.700000000000003,465
2022,A01,21.75,1727
2022,A01,21.799999999999997,572
2022,A01,21.8,1137
2022,A01,21.849999999999998,105
2022,A01,21.85,1509
2022,A01,21.9,1519
2022,A01,21.900000000000002,141
2022,A01,21.95,1247
2022,A01,21.950000000000003,497
2022,A01,22.0,1632
2022,A01,22.049999999999997,491
2022,A01,22.05,1158
2022,A01,22.099999999999998,75
2022,A01,22.1,1532
2022,A01,22.15,1514
2022,A01,22.150000000000002,136
2022,A01,22.2,1163
2022,A01,22.200000000000003,474
2022,A01,22.25,1644
2022,A01,22.299999999999997,471
2022,A01,22.3,1188
2022,A01,22.349999999999998,159
2022,A01,22.35,1398
2022,A01,22.4,1454
2022,A01,22.400000000000002,95
2022,A01,22.45,1140
2022,A01,22.450000000000003,477
2022,A01,22.5,1579
2022,A01,22.549999999999997,515
2022,A01,22.55,1048
2022,A01,22.599999999999998,149
2022,A01,22.6,1371
2022,A01,22.65,1366
2022,A01,22.650000000000002,104
2022,A01,22.7,983
2022,A01,22.700000000000003,511
2022,A01,22.75,1443
2022,A01,22.799999999999997,524
2022,A01,22.8,983
2022,A01,22.849999999999998,109
2022,A01,22.85,1335
2022,A01,22.9,1270
2022,A01,22.900000000000002,159
2022,A01,22.95,1013
2022,A01,22.950000000000003,466
2022,A01,23.0,1514
2022,A01,23.049999999999997,492
2022,A01,23.05,923
2022,A01,23.099999999999998,87
2022,A01,23.1,1297
